"","Nest_ID","year","found_day","species","habitat","fws_steel_band.x","eggs_max","fate","fate_day","eggs_hatched","ducklings_min","predator","camera_nest","camera_type","camera_start","camera_end","camera_fate","camera_days","camera_exposure","inc_late","inc_mean","inc_median","inc_early","inc_hatch","inc_firsthatch","found_laying","init_laying","init_mean","init_median","init_hatch","init_firsthatch","found_status","eggs_depredated","eggs_inviable","Species","Fate_video","Fate_Dep_Species_video","Min_Number_Ducklings_video","capture_date","capture_datetime","release_datetime","age","mass","wing_chord","flattened_wing","culmen","nares_distal","nares_proximal","tarsus_total","tarsus_diagonal","head","primary_ninth","transmitter"
"41","10-DES024",2010,187,"SPEI",NA,"1767-22624",4,"Hatched",201,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,173.5,173.5,172,NA,NA,NA,NA,171.5,171.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,"2010-07-13","2010/07/13 16:59:00","2010/07/13 17:22:00","ASY",1236,NA,NA,22.86,NA,NA,"59.72","46.91",NA,NA,NA
"42","10-DES025",2010,191,"SPEI",NA,NA,0,"Destroyed",191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","10-DES027",2010,195,"SPEI",NA,NA,3,"Review",198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,173.5,173.5,173,NA,NA,NA,NA,172.5,172.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","10-DOH001",2010,179,"STEI",NA,NA,5,"Destroyed",184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","10-GAS001",2010,170,"LTDU",NA,NA,2,"Destroyed",181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,177.5,177.5,177,NA,NA,NA,NA,177.5,177.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","10-GAS002",2010,173,"SPEI",NA,NA,4,"Destroyed",186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","10-JRK002",2010,171,"LTDU",NA,"2406-00633",6,"Destroyed",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,171.6666667,170.5,169,NA,NA,NA,NA,167.6666667,166.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,"2010-07-13","2010/07/13 11:54:00","2010/07/13 12:18:00","ASY",599,NA,NA,27.66,NA,NA,"45.35","35.9",NA,NA,NA
"48","10-JRK014",2010,193,"KIEI",NA,NA,0,"Destroyed",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","10-KEO017",2010,182,"LTDU",NA,NA,3,"Destroyed",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,179.5,179.5,178,NA,NA,NA,NA,178.5,178.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","10-KEO018",2010,182,"SPEI",NA,"1767-22629",3,"Hatched",203,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,177,177.5,175,NA,NA,"0",NA,176,176.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,"2010-07-17","2010/07/17 12:02:00","2010/07/17 12:19:00","ASY",1109,NA,NA,27.3,NA,NA,"57.2","46",NA,NA,NA
"51","10-KEO019",2010,184,"LTDU",NA,NA,5,"Destroyed",195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,181.5,181.5,180,NA,NA,NA,NA,178.5,178.5,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
