,activity_id,nest_id,video_id,behavior,recess_cause,datetime_begin_raw,datetime_end_raw,datetime_begin_corrected,datetime_end_corrected,has_negative_duration,begin_dt,end_dt,duration_min,duration_hr,total_mins,init_median,year,species,fate,fate_day
204,27658,23agc030,23-AGC030_1,I-Incubating,NotApplicable,2023-06-29T07:32:47-08:00,2023-06-30T09:52:03-08:00,2023-06-29T07:32:42-08:00,2023-06-30T09:52:08-08:00,FALSE,6/29/2023 7:32,6/30/2023 9:52,1579.433333,26.32388889,13815.63333,166,2023,SPEI,Destroyed,189
205,27985,24cam058,24-CAM058_1,I-Incubating,NotApplicable,2024-07-20T06:21:25-08:00,2024-07-21T08:37:22-08:00,2024-07-20T06:21:20-08:00,2024-07-21T08:37:27-08:00,FALSE,7/20/2024 6:21,7/21/2024 8:37,1576.116667,26.26861111,27151.16667,176.75,2024,KIEI,Hatched,204
206,26214,19cht036,19-CHT036_1,I-Incubating,NotApplicable,2019-07-02T08:02:27-08:00,2019-07-03T10:15:34-08:00,2019-07-02T08:05:51-08:00,2019-07-03T10:19:08-08:00,FALSE,7/2/2019 8:05,7/3/2019 10:19,1573.283333,26.22138889,8171.966667,162.5416667,2019,SPEI,Hatched,189
207,25957,11est009,11-EST009_2,I-Incubating,NotApplicable,2011-06-30T23:07:50-08:00,2011-07-02T01:19:35-08:00,2011-06-30T23:25:02-08:00,2011-07-02T01:36:55-08:00,FALSE,6/30/2011 23:25,7/2/2011 1:36,1571.883333,26.19805556,21401,164.0833333,2011,KIEI,Hatched,193
208,27994,24jan015,24-JAN015_1,I-Incubating,NotApplicable,2024-06-21T05:52:41-08:00,2024-06-22T08:02:18-08:00,2024-06-21T05:52:36-08:00,2024-06-22T08:02:23-08:00,FALSE,6/21/2024 5:52,6/22/2024 8:02,1569.783333,26.16305556,10933.5,169,NA,NA,NA,NA
209,22303,12mtw040,12-MTW040_1,I-Incubating,NotApplicable,2012-07-01T06:36:40-08:00,2012-07-02T08:46:10-08:00,2012-07-01T06:47:17-08:00,2012-07-02T08:57:02-08:00,FALSE,7/1/2012 6:47,7/2/2012 8:57,1569.75,26.1625,15731.5,160,2012,KIEI,Hatched,194
210,27729,23drs084,23-DRS084_1,I-Incubating,NotApplicable,2023-07-06T09:46:53-08:00,2023-07-07T11:49:40-08:00,2023-07-06T09:46:48-08:00,2023-07-07T11:49:45-08:00,FALSE,7/6/2023 9:46,7/7/2023 11:49,1562.95,26.04916667,13204.03333,167,2023,SPEI,Hatched,194
211,25207,14mwm015,14-MWM015_2,I-Incubating,NotApplicable,2014-07-09T16:59:30-08:00,2014-07-10T18:56:30-08:00,2014-07-09T23:47:00-08:00,2014-07-11T01:44:15-08:00,FALSE,7/9/2014 23:47,7/11/2014 1:44,1557.25,25.95416667,12819.11667,168,2014,SPEI,Hatched,193
212,27034,15qmb003,15-QMB003_1,I-Incubating,NotApplicable,2015-06-30T04:00:00-08:00,2015-07-01T05:56:15-08:00,2015-06-30T03:46:00-08:00,2015-07-01T05:42:22-08:00,FALSE,6/30/2015 3:46,7/1/2015 5:42,1556.366667,25.93944444,5646.616667,158.5,2015,SPEI,Hatched,185
214,23045,16dlc007,16-DLC007_1,I-Incubating,NotApplicable,2016-06-24T02:55:15-08:00,2016-06-25T04:46:00-08:00,2016-06-24T02:55:07-08:00,2016-06-25T04:46:07-08:00,FALSE,6/24/2016 2:55,6/25/2016 4:46,1551,25.85,15960.63333,173,2016,SPEI,Destroyed,186
215,23025,15sot010,15-SOT010_1,I-Incubating,NotApplicable,2015-07-04T05:45:30-08:00,2015-07-05T07:33:15-08:00,2015-07-04T05:45:22-08:00,2015-07-05T07:33:15-08:00,FALSE,7/4/2015 5:45,7/5/2015 7:33,1547.883333,25.79805556,10171.61667,164,2015,SPEI,Hatched,190
218,22505,12rrg007,12-RRG007_2,I-Incubating,NotApplicable,2012-06-30T04:49:40-08:00,2012-07-01T06:31:55-08:00,2012-06-30T05:15:21-08:00,2012-07-01T06:57:51-08:00,FALSE,6/30/2012 5:15,7/1/2012 6:57,1542.5,25.70833333,22670.11667,166,2012,SPEI,Hatched,192
219,26199,19cht024,19-CHT024_2,I-Incubating,NotApplicable,2019-07-09T05:59:57-08:00,2019-07-10T07:42:04-08:00,2019-07-09T06:06:10-08:00,2019-07-10T07:48:27-08:00,FALSE,7/9/2019 6:06,7/10/2019 7:48,1542.283333,25.70472222,15640.65,167,2019,SPEI,Hatched,194
220,27621,22esw092,22-ESW092_1,I-Incubating,NotApplicable,2022-07-08T05:53:17-08:00,2022-07-09T07:34:04-08:00,2022-07-08T05:53:12-08:00,2022-07-09T07:34:09-08:00,FALSE,7/8/2022 5:53,7/9/2022 7:34,1540.95,25.6825,7923.616667,NA,2022,KIEI,Destroyed,194
221,27705,23agc031,23-AGC031_1,I-Incubating,NotApplicable,2023-07-05T06:19:48-08:00,2023-07-06T08:00:35-08:00,2023-07-05T06:19:43-08:00,2023-07-06T08:00:40-08:00,FALSE,7/5/2023 6:19,7/6/2023 8:00,1540.95,25.6825,15377.36667,165.5,2023,SPEI,Destroyed,190
222,22465,12keo001,12-KEO001_1,I-Incubating,NotApplicable,2012-06-25T07:33:30-08:00,2012-06-26T09:14:00-08:00,2012-06-25T07:42:58-08:00,2012-06-26T09:23:36-08:00,FALSE,6/25/2012 7:42,6/26/2012 9:23,1540.633333,25.67722222,26854.13333,166.5,2012,SPEI,Hatched,192
223,27800,23drs088,23-DRS088_1,I-Incubating,NotApplicable,2023-07-14T09:11:43-08:00,2023-07-15T10:45:10-08:00,2023-07-14T09:11:38-08:00,2023-07-15T10:45:15-08:00,FALSE,7/14/2023 9:11,7/15/2023 10:45,1533.616667,25.56027778,17009.9,168,2023,SPEI,Hatched,197
224,25715,16fox002,16-FOX002_1,I-Incubating,NotApplicable,2016-06-16T07:44:00-08:00,2016-06-17T09:05:15-08:00,2016-06-16T07:40:11-08:00,2016-06-17T09:01:41-08:00,FALSE,6/16/2016 7:40,6/17/2016 9:01,1521.5,25.35833333,24531.36667,156,2016,KIEI,Hatched,186
225,22307,12mtw040,12-MTW040_2,I-Incubating,NotApplicable,2012-07-08T23:40:48-08:00,2012-07-10T00:59:48-08:00,2012-07-09T00:03:25-08:00,2012-07-10T01:22:40-08:00,FALSE,7/9/2012 0:03,7/10/2012 1:22,1519.25,25.32083333,15731.5,160,2012,KIEI,Hatched,194
226,22488,12jjn009,12-JJN009_4,I-Incubating,NotApplicable,2012-07-06T03:03:55-08:00,2012-07-07T04:22:40-08:00,2012-07-06T06:03:37-08:00,2012-07-07T07:22:37-08:00,FALSE,7/6/2012 6:03,7/7/2012 7:22,1519,25.31666667,27402.53333,167,2012,SPEI,Hatched,192
228,28078,24mle091,24-MLE091_1,I-Incubating,NotApplicable,2024-07-03T02:21:34-08:00,2024-07-04T03:31:31-08:00,2024-07-03T02:21:29-08:00,2024-07-04T03:31:36-08:00,FALSE,7/3/2024 2:21,7/4/2024 3:31,1510.116667,25.16861111,20237.86667,167.75,2024,SPEI,Hatched,197
229,22978,15nrg022,15-NRG022_1,I-Incubating,NotApplicable,2000-01-01T17:51:43-09:00,2000-01-02T19:00:28-09:00,2015-07-01T08:50:57-08:00,2015-07-02T09:59:57-08:00,FALSE,7/1/2015 8:50,7/2/2015 9:59,1509,25.15,9339,170.375,2015,SPEI,Destroyed,3
231,22504,12rrg007,12-RRG007_2,I-Incubating,NotApplicable,2012-06-29T03:37:55-08:00,2012-06-30T04:35:25-08:00,2012-06-29T04:03:36-08:00,2012-06-30T05:01:21-08:00,FALSE,6/29/2012 4:03,6/30/2012 5:01,1497.75,24.9625,22670.11667,166,2012,SPEI,Hatched,192
232,27945,24akm052,24-AKM052_1,I-Incubating,NotApplicable,2024-07-03T06:04:07-08:00,2024-07-04T06:59:04-08:00,2024-07-03T06:04:07-08:00,2024-07-04T06:59:09-08:00,FALSE,7/3/2024 6:04,7/4/2024 6:59,1495.033333,24.91722222,16032.36667,166,2024,SPEI,Hatched,196
233,28051,24jan109,24-JAN109_1,I-Incubating,NotApplicable,2024-07-11T07:36:01-08:00,2024-07-12T08:30:48-08:00,2024-07-11T07:35:56-08:00,2024-07-12T08:30:53-08:00,FALSE,7/11/2024 7:35,7/12/2024 8:30,1494.95,24.91583333,17687.83333,169,NA,NA,NA,NA
