"","activity_id","nest_id","video_id","behavior","recess_cause","datetime_begin_raw","datetime_end_raw","datetime_begin_corrected","datetime_end_corrected","has_negative_duration","begin_dt","end_dt","duration_min","duration_hr"
"119",28076,"24mle091","24-MLE091_1","I-Incubating","NotApplicable","2024-07-01T08:06:01-08:00","2024-07-03T01:37:04-08:00","2024-07-01T08:05:56-08:00","2024-07-03T01:37:09-08:00",FALSE,2024-07-01 08:05:56,2024-07-03 01:37:09,2491.21666666667,41.5202777777778
"120",22523,"13deg044","13-DEG044_1","I-Incubating","NotApplicable","2013-07-05T10:31:37-08:00","2013-07-07T04:00:07-08:00","2013-07-05T12:14:45-08:00","2013-07-07T05:43:23-08:00",FALSE,2013-07-05 12:14:45,2013-07-07 05:43:23,2488.63333333333,41.4772222222222
"121",26292,"19nrg046","19-NRG046_1","I-Incubating","NotApplicable","2019-06-30T09:24:59-08:00","2019-07-02T02:49:43-08:00","2019-06-30T09:29:03-08:00","2019-07-02T02:53:57-08:00",FALSE,2019-06-30 09:29:03,2019-07-02 02:53:57,2484.9,41.415
"122",26255,"19noc017","19-NOC017_2","I-Incubating","NotApplicable","2019-07-02T11:39:36-08:00","2019-07-04T04:56:30-08:00","2019-07-02T11:39:36-08:00","2019-07-04T04:56:35-08:00",FALSE,2019-07-02 11:39:36,2019-07-04 04:56:35,2476.98333333333,41.2830555555555
"123",27585,"23drs009","23-DRS009_1","I-Incubating","NotApplicable","2013-01-19T22:43:53-09:00","2013-01-21T15:45:07-09:00","2023-06-25T02:35:54-08:00","2023-06-26T19:37:18-08:00",FALSE,2023-06-25 02:35:54,2023-06-26 19:37:18,2461.4,41.0233333333333
"124",21449,"11caa001",NA,"I-Incubating","NotApplicable","2011-06-22T16:52:45-08:00","2011-06-24T09:48:00-08:00","2011-06-22T16:52:37-08:00","2011-06-24T09:48:07-08:00",FALSE,2011-06-22 16:52:37,2011-06-24 09:48:07,2455.5,40.925
"125",27689,"23agc031","23-AGC031_1","I-Incubating","NotApplicable","2023-06-28T07:02:59-08:00","2023-06-29T23:52:53-08:00","2023-06-28T07:02:59-08:00","2023-06-29T23:52:58-08:00",FALSE,2023-06-28 07:02:59,2023-06-29 23:52:58,2449.98333333333,40.8330555555556
"126",25972,"19cht010","19-CHT010_3","I-Incubating","NotApplicable","2019-07-02T12:55:52-08:00","2019-07-04T05:36:57-08:00","2019-07-02T12:55:52-08:00","2019-07-04T05:37:02-08:00",FALSE,2019-07-02 12:55:52,2019-07-04 05:37:02,2441.16666666667,40.6861111111111
"127",23171,"16map028","16-MAP028_1","I-Incubating","NotApplicable","2016-07-01T12:31:15-08:00","2016-07-03T04:47:15-08:00","2016-07-01T12:31:07-08:00","2016-07-03T04:47:22-08:00",FALSE,2016-07-01 12:31:07,2016-07-03 04:47:22,2416.25,40.2708333333333
"128",26203,"19cht024","19-CHT024_2","I-Incubating","NotApplicable","2019-07-11T05:53:51-08:00","2019-07-12T22:07:45-08:00","2019-07-11T06:00:04-08:00","2019-07-12T22:14:08-08:00",FALSE,2019-07-11 06:00:04,2019-07-12 22:14:08,2414.06666666667,40.2344444444444
"129",27731,"23drs084","23-DRS084_1","I-Incubating","NotApplicable","2023-07-07T12:03:30-08:00","2023-07-09T04:12:43-08:00","2023-07-07T12:03:25-08:00","2023-07-09T04:12:48-08:00",FALSE,2023-07-07 12:03:25,2023-07-09 04:12:48,2409.38333333333,40.1563888888889
"130",25062,"14eeu038","14-EEU038_2","I-Incubating","NotApplicable","2000-01-02T23:19:56-09:00","2000-01-04T15:25:26-09:00","2014-07-13T12:42:07-08:00","2014-07-15T04:47:52-08:00",FALSE,2014-07-13 12:42:07,2014-07-15 04:47:52,2405.75,40.0958333333333
"131",27780,"23drs087","23-DRS087_1","I-Incubating","NotApplicable","2023-07-07T11:26:48-08:00","2023-07-09T02:34:32-08:00","2023-07-07T11:26:43-08:00","2023-07-09T02:34:37-08:00",FALSE,2023-07-07 11:26:43,2023-07-09 02:34:37,2347.9,39.1316666666667
"132",22533,"13emw016","13-EMW016_2","I-Incubating","NotApplicable","2013-07-12T14:03:51-08:00","2013-07-14T05:07:21-08:00","2013-07-12T12:56:32-08:00","2013-07-14T04:00:10-08:00",FALSE,2013-07-12 12:56:32,2013-07-14 04:00:10,2343.63333333333,39.0605555555556
"133",26313,"19nrg046","19-NRG046_2","I-Incubating","NotApplicable","2019-07-07T10:50:40-08:00","2019-07-09T01:46:24-08:00","2019-07-07T10:54:44-08:00","2019-07-09T01:50:38-08:00",FALSE,2019-07-07 10:54:44,2019-07-09 01:50:38,2335.9,38.9316666666667
"134",27768,"23drs086","23-DRS086_1","I-Incubating","NotApplicable","2023-07-09T07:17:21-08:00","2023-07-10T21:56:45-08:00","2023-07-09T07:17:16-08:00","2023-07-10T21:56:50-08:00",FALSE,2023-07-09 07:17:16,2023-07-10 21:56:50,2319.56666666667,38.6594444444444
"135",22531,"13emw016","13-EMW016_1","I-Incubating","NotApplicable","2013-07-09T12:37:04-08:00","2013-07-11T03:04:34-08:00","2013-07-09T11:29:45-08:00","2013-07-11T01:57:30-08:00",FALSE,2013-07-09 11:29:45,2013-07-11 01:57:30,2307.75,38.4625
"136",21917,"11ncs003","11-NCS003_5","I-Incubating","NotApplicable","2011-07-08T08:45:30-08:00","2011-07-09T22:40:45-08:00","2011-07-09T08:50:38-08:00","2011-07-10T22:46:08-08:00",FALSE,2011-07-09 08:50:38,2011-07-10 22:46:08,2275.5,37.925
"137",28133,"25cbp038","25-CBP038","I-Incubating","NotApplicable","2025-07-09T21:01:23-08:00","2025-07-11T09:12:00-08:00","2025-07-09T21:01:18-08:00","2025-07-11T09:12:05-08:00",FALSE,2025-07-09 21:01:18,2025-07-11 09:12:05,2170.78333333333,36.1797222222222
"138",25374,"13emw016","13-EMW016_1","I-Incubating","NotApplicable","2013-07-06T16:05:49-08:00","2013-07-08T04:13:34-08:00","2013-07-06T14:58:38-08:00","2013-07-08T03:06:30-08:00",FALSE,2013-07-06 14:58:38,2013-07-08 03:06:30,2167.86666666667,36.1311111111111
"139",28124,"25cbp038","25-CBP038","I-Incubating","NotApplicable","2025-07-08T08:40:40-08:00","2025-07-09T20:46:13-08:00","2025-07-08T08:40:35-08:00","2025-07-09T20:46:18-08:00",FALSE,2025-07-08 08:40:35,2025-07-09 20:46:18,2165.71666666667,36.0952777777778
